156:325.0,359.0,0.93,1.05
157:322.0,245.0,0.88,1.34
158:191.0,363.0,0.69,2.13
159:337.0,248.0,0.38,5.97
160:237.0,252.0,0.99,1.06
161:346.0,300.0,0.85,1.16
162:192.0,240.0,0.66,2.35
163:181.0,253.0,0.85,1.34
164:263.0,338.0,0.88,1.27
165:299.0,243.0,0.75,1.00
166:293.0,333.0,0.74,1.95
167:224.0,332.0,0.39,5.89
168:270.0,277.0,0.97,1.03
169:242.0,83.0,0.62,3.02
170:195.0,142.0,0.87,1.38
171:297.0,246.0,0.89,1.21
172:120.0,225.0,0.78,1.96
173:260.0,155.0,0.85,1.73
174:272.0,286.0,0.48,3.19
175:302.0,80.0,0.37,6.63
176:173.0,192.0,0.96,1.11
177:347.0,109.0,0.62,3.17
178:315.0,166.0,0.72,2.02
179:350.0,322.0,0.85,1.14
180:325.0,286.0,0.86,1.15
181:380.0,315.0,0.87,1.27
182:372.0,136.0,0.62,2.83
183:217.0,184.0,0.24,10.01
184:282.0,224.0,0.97,1.26
185:345.0,113.0,0.60,3.05
186:258.0,63.0,0.44,4.17
187:267.0,279.0,0.85,1.04
188:153.0,233.0,0.76,1.66
189:222.0,156.0,0.84,1.51
190:348.0,97.0,0.55,3.56
191:32.0,264.0,0.31,8.04
192:241.0,253.0,0.81,1.03
193:276.0,105.0,0.64,2.62
194:250.0,107.0,0.69,2.28
195:136.0,156.0,0.83,1.12
196:155.0,207.0,0.85,1.56
197:160.0,123.0,0.83,1.40
198:231.0,123.0,0.65,2.65
199:256.0,81.0,0.41,5.59
200:242.0,165.0,0.90,1.52
201:377.0,214.0,0.84,1.76
202:317.0,193.0,0.82,1.68
203:206.0,293.0,0.85,1.42
204:334.0,322.0,0.80,1.04
205:282.0,190.0,0.78,1.43
206:326.0,88.0,0.53,3.70
207:62.0,334.0,0.43,5.32
208:382.0,352.0,0.98,1.08
209:290.0,112.0,0.68,2.60
210:195.0,110.0,0.81,1.77
211:169.0,196.0,0.87,1.13
212:224.0,278.0,0.92,1.27
213:242.0,129.0,0.78,1.95
214:312.0,263.0,0.73,1.96
215:212.0,164.0,0.33,6.90
216:222.0,162.0,0.93,1.27
217:251.0,90.0,0.63,2.83
218:224.0,127.0,0.79,1.80
219:245.0,176.0,0.89,1.39
220:173.0,296.0,0.82,1.69
221:273.0,193.0,0.85,1.44
222:230.0,306.0,0.70,1.00
223:134.0,195.0,0.57,1.00
224:191.0,201.0,0.98,1.04
225:302.0,167.0,0.79,1.82
226:228.0,206.0,0.90,1.20
227:266.0,268.0,0.86,1.14
228:298.0,322.0,0.94,1.11
229:209.0,177.0,0.87,1.37
230:329.0,145.0,0.76,2.29
231:250.0,265.0,0.26,9.44
232:205.0,210.0,0.92,1.00
233:300.0,160.0,0.79,1.99
234:185.0,125.0,0.85,1.47
235:271.0,328.0,0.83,1.23
236:265.0,291.0,0.88,1.08
237:269.0,270.0,0.87,1.00
238:176.0,387.0,0.71,2.28
239:112.0,347.0,0.61,3.36
240:273.0,246.0,0.98,1.10
241:120.0,120.0,0.92,1.03
242:91.0,43.0,0.74,2.17
243:126.0,160.0,0.77,1.26
244:344.0,264.0,0.77,1.65
245:142.0,125.0,0.91,1.06
246:95.0,294.0,0.56,3.19
247:34.0,160.0,0.35,6.70
248:162.0,184.0,0.89,1.11
249:327.0,165.0,0.82,1.99
250:248.0,96.0,0.70,2.57
251:172.0,220.0,0.87,1.27
252:399.0,229.0,0.73,1.75
253:313.0,216.0,0.84,1.45
254:162.0,292.0,0.76,2.01
255:241.0,44.0,0.34,7.30
256:225.0,229.0,0.98,1.02
257:204.0,77.0,0.69,2.70
258:159.0,58.0,0.55,2.69
259:196.0,214.0,0.84,1.12
260:169.0,209.0,0.83,1.30
261:213.0,130.0,0.81,1.70
262:128.0,253.0,0.73,2.08
263:48.0,137.0,0.28,8.22
264:167.0,150.0,0.96,1.11
265:296.0,121.0,0.70,2.44
266:254.0,112.0,0.69,2.50
267:282.0,140.0,0.80,2.07
268:246.0,222.0,0.94,1.13
269:216.0,142.0,0.85,1.62
270:237.0,361.0,0.73,1.55
271:19.0,187.0,0.24,10.29
272:140.0,137.0,0.97,1.02
